,City,Country,Date,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
0,coquimbo,cl,1561573736,58.0,0.0,-29.95,-71.34,59.0,11.41
1,guerrero negro,mx,1561573736,82.0,100.0,27.97,-114.04,62.73,7.67
2,tiksi,ru,1561573736,59.0,0.0,71.64,128.87,58.77,8.7
3,palabuhanratu,id,,,,,,,
4,cayenne,gf,1561573736,83.0,75.0,4.94,-52.33,78.8,11.41
5,dikson,ru,1561573736,94.0,100.0,73.51,80.55,33.21,16.6
6,waitati,nz,1561573736,60.0,0.0,-45.75,170.57,48.99,1.01
8,albany,au,1561573737,81.0,40.0,-35.02,117.88,51.8,13.87
9,gizo,sb,1561573737,78.0,88.0,-8.1,156.84,82.71,8.79
10,port blair,in,1561573737,81.0,100.0,11.67,92.75,83.97,20.87
11,hermanus,za,1561573737,93.0,0.0,-34.42,19.24,55.99,1.01
12,sorland,no,1561573738,100.0,75.0,67.67,12.69,48.2,16.11
13,cherskiy,ru,1561573738,40.0,11.0,68.75,161.3,56.43,8.37
14,illoqqortoormiut,gl,,,,,,,
15,yurya,ru,,,,,,,
16,touros,br,1561573738,69.0,40.0,-5.2,-35.46,82.4,16.11
17,rikitea,pf,1561573738,79.0,73.0,-23.12,-134.97,74.25,10.63
18,kodiak,us,1561573738,61.0,1.0,39.95,-94.76,80.6,6.93
19,barentsburg,sj,,,,,,,
20,georgetown,sh,1561573739,71.0,93.0,-7.93,-14.42,75.69,18.66
21,bafoulabe,ml,1561573739,18.0,33.0,13.81,-10.83,105.21,3.8
23,nome,us,1561573739,66.0,90.0,30.04,-94.42,91.4,10.29
24,kavieng,pg,1561573739,75.0,91.0,-2.57,150.8,84.33,9.84
25,vestmannaeyjar,is,1561573740,100.0,90.0,63.44,-20.27,51.8,17.22
26,chokurdakh,ru,1561573740,41.0,17.0,70.62,147.9,57.69,12.8
27,one hundred mile house,ca,,,,,,,
28,axim,gh,1561573740,85.0,90.0,4.87,-2.24,77.31,11.63
29,busselton,au,1561573740,49.0,17.0,-33.64,115.35,57.0,32.44
30,la ronge,ca,1561573727,71.0,75.0,55.1,-105.3,57.2,6.93
31,port alfred,za,1561573740,94.0,67.0,-33.59,26.89,59.0,1.99
32,bethel,us,1561573741,82.0,75.0,60.79,-161.76,62.6,17.22
33,ust-barguzin,ru,1561573741,99.0,91.0,53.41,109.03,45.27,6.73
34,nhulunbuy,au,1561573741,93.0,13.0,-12.18,136.78,66.2,10.87
35,barrow,us,1561573742,62.0,75.0,39.51,-90.4,91.0,6.93
37,cape town,za,1561573586,87.0,0.0,-33.93,18.42,55.99,4.7
38,davidson,ca,1561573630,57.0,0.0,51.26,-105.98,71.01,4.0
39,pevek,ru,1561573742,79.0,19.0,69.7,170.27,35.55,11.5
40,fort nelson,ca,1561573742,72.0,75.0,58.81,-122.69,62.6,11.41
41,kovernino,ru,1561573742,96.0,100.0,57.13,43.81,52.65,3.94
43,saint-philippe,re,1561573742,78.0,90.0,-21.36,55.77,73.4,4.7
44,wuda,cn,1561573743,83.0,100.0,39.5,106.72,60.03,5.86
45,torbay,ca,1561573743,62.0,20.0,47.66,-52.73,63.0,11.41
46,mataura,pf,,,,,,,
47,vaini,to,1561573743,88.0,20.0,-21.2,-175.2,71.6,6.93
48,faya,td,,,,,,,
49,mrirt,ma,,,,,,,
50,anloga,gh,1561573743,83.0,35.0,5.79,0.9,77.49,14.09
51,kahului,us,1561573743,83.0,75.0,20.89,-156.47,77.0,6.93
52,saint anthony,ca,,,,,,,
53,corumba,br,1561573744,76.0,90.0,-19.0,-57.65,57.2,5.82
54,bluff,nz,1561573744,82.0,44.0,-46.6,168.33,48.0,5.99
56,kuminskiy,ru,1561573744,69.0,68.0,58.67,66.57,49.41,2.89
57,hithadhoo,mv,1561573476,72.0,45.0,-0.6,73.08,84.69,9.26
58,ushuaia,ar,1561573719,69.0,75.0,-54.81,-68.31,33.8,16.11
60,severo-kurilsk,ru,1561573744,97.0,99.0,50.68,156.12,40.41,7.16
61,ayan,ru,,,,,,,
63,jumla,np,1561573745,93.0,0.0,29.28,82.18,51.93,3.33
64,new norfolk,au,1561573745,81.0,0.0,-42.78,147.06,44.01,10.29
65,hobart,au,1561573746,81.0,0.0,-42.88,147.33,44.01,10.29
66,pouebo,nc,1561573746,93.0,99.0,-20.4,164.57,66.87,4.52
70,shitanjing,cn,1561573746,91.0,100.0,39.23,106.34,57.99,1.01
71,leamington,ca,1561573746,39.0,20.0,42.05,-82.6,87.01,12.75
72,filingue,ne,1561573747,27.0,0.0,14.35,3.32,99.63,7.7
73,evensk,ru,1561573747,55.0,49.0,61.92,159.24,52.29,10.96
74,kasempa,zm,1561573747,50.0,0.0,-13.46,25.83,61.11,5.17
75,zaysan,kz,1561573747,37.0,3.0,47.47,84.87,58.05,7.11
76,barkly west,za,1561573747,30.0,0.0,-28.54,24.52,53.6,4.7
77,nikolskoye,ru,1561573747,59.0,40.0,59.7,30.79,64.4,4.47
78,tessaoua,ne,1561573747,24.0,23.0,13.76,7.99,99.09,8.03
79,taolanaro,mg,,,,,,,
81,abu kamal,sy,1561573748,9.0,0.0,34.45,40.92,100.89,8.16
82,mamontovo,ru,1561573748,80.0,0.0,52.71,81.63,56.79,7.45
83,finschhafen,pg,1561573748,94.0,99.0,-6.6,147.85,63.81,1.52
84,kaitangata,nz,1561573748,71.0,63.0,-46.28,169.85,45.0,7.0
86,puerto ayora,ec,1561573749,54.0,20.0,-0.74,-90.35,84.2,20.8
87,inhambane,mz,1561573749,77.0,20.0,-23.87,35.38,68.0,3.51
88,sao filipe,cv,1561573749,85.0,0.0,14.9,-24.5,75.15,24.92
89,maumere,id,1561573749,56.0,0.0,-8.63,122.22,71.37,3.65
90,tasiilaq,gl,1561573749,87.0,90.0,65.61,-37.64,42.8,4.7
91,bukene,tz,1561573749,45.0,88.0,-4.23,32.89,75.15,5.3
92,san cristobal,ec,1561573750,61.0,39.0,-1.02,-79.44,85.23,3.29
94,itarema,br,1561573750,59.0,3.0,-2.92,-39.92,86.13,11.18
95,bredasdorp,za,1561573750,93.0,0.0,-34.53,20.04,54.0,1.12
101,palmer,us,1561573751,72.0,1.0,61.6,-149.11,64.99,3.36
103,hambantota,lk,1561573751,100.0,20.0,6.12,81.12,80.6,4.7
104,butaritari,ki,1561573477,73.0,90.0,3.07,172.79,83.61,15.79
106,abu samrah,qa,,,,,,,
107,avarua,ck,1561573751,94.0,25.0,-21.21,-159.78,69.8,1.12
109,williams lake,ca,1561573751,67.0,20.0,52.13,-122.14,57.2,2.24
110,norman wells,ca,1561573556,61.0,75.0,65.28,-126.83,50.0,14.99
111,esperance,au,1561573516,82.0,90.0,-33.86,121.89,59.0,13.87
112,ilulissat,gl,1561573752,81.0,20.0,69.22,-51.1,44.6,9.17
113,punta arenas,cl,1561573752,57.0,0.0,-53.16,-70.91,33.8,6.93
115,qandahar,af,,,,,,,
116,tazmalt,dz,1561573752,83.0,20.0,36.39,4.4,78.8,12.75
119,atuona,pf,1561573752,69.0,0.0,-9.8,-139.03,81.27,17.81
123,krasnoselkup,ru,,,,,,,
125,meulaboh,id,1561573753,70.0,100.0,4.14,96.13,83.43,7.16
126,piacabucu,br,1561573753,75.0,59.0,-10.41,-36.43,79.29,11.97
128,jamestown,sh,1561573753,69.0,82.0,-15.94,-5.72,70.83,13.98
130,richards bay,za,1561573753,72.0,0.0,-28.77,32.06,70.65,23.04
131,kralendijk,an,,,,,,,
132,gurskoye,ru,,,,,,,
135,bathsheba,bb,1561573502,62.0,40.0,13.22,-59.52,87.8,21.92
136,wanning,cn,1561573753,81.0,68.0,18.8,110.4,76.77,3.4
139,yellowknife,ca,1561573753,63.0,75.0,62.45,-114.38,66.2,8.05
143,santa maria,cv,1561573754,69.0,40.0,16.6,-22.9,80.6,23.04
144,ylivieska,fi,1561573754,87.0,100.0,64.07,24.53,55.0,1.99
145,saleaula,ws,,,,,,,
147,boa vista,br,1561573684,60.0,35.0,2.82,-60.67,87.57,13.96
148,san patricio,mx,1561573755,74.0,75.0,19.22,-104.7,87.8,9.17
149,kaoma,zm,1561573755,41.0,0.0,-14.8,24.8,62.55,5.17
150,linkoping,se,1561573755,88.0,75.0,58.41,15.62,64.99,4.7
151,tuktoyaktuk,ca,1561573755,90.0,90.0,69.44,-133.03,37.4,17.22
152,kangaba,ml,1561573756,28.0,33.0,11.94,-8.41,98.91,7.83
153,roches noires,mu,,,,,,,
154,salta,ar,1561573738,41.0,0.0,-24.79,-65.41,57.2,2.24
158,airai,pw,,,,,,,
162,shingu,jp,1561573756,96.0,100.0,33.72,135.99,64.71,3.58
